LunaID,scanage,group
10128,20.78,adult
10134,25.55,adult
10152,15.41,teen
10153,13.33,teen
10156,15.69,teen
10173,16.09,teen
10181,15.56,teen
10315,20.11,adult
10385,20.45,adult
10406,15.59,teen
10431,23.65,adult
10451,16.6,teen
10466,10.49,child
10529,16.32,teen
10558,20.07,adult
10567,18.72,adult
10568,18.48,adult
10572,18.93,adult
10574,23.62,adult
10585,16.86,teen
10589,18.09,adult
10594,23.55,adult
10599,11.41,child
10601,20.43,adult
10604,17.03,teen
10605,22.91,adult
10606,22.85,adult
10608,17.53,teen
10616,14.82,teen
10623,18.8,adult
10625,18.96,adult
10627,14.85,teen
10633,15.65,teen
10635,18.85,adult
10636,13.87,teen
10637,11.71,child
10638,11.06,child
10644,10.57,child
10646,10.11,child
10652,12.88,child
10653,14.15,teen
10662,11.53,child
10664,17.91,teen
10665,13.53,teen
10666,13.97,teen
10671,12.47,child
10673,17.46,teen
10674,14.24,teen
10675,18.31,adult
10677,14.84,teen
10680,15.69,teen
10686,16.1,teen
10689,18.17,adult
10696,15.56,teen
10697,17.13,teen
10699,15.41,teen
10700,14.89,teen
10701,11.24,child
10703,15.15,teen
10707,18.6,adult
10708,18.14,adult
10709,17.86,teen
10710,17.44,teen
10712,18.72,adult
10713,15.91,teen
10717,10.72,child
10745,17.49,teen
10747,12.91,child
10749,11.12,child
10757,16.36,teen
10758,17.96,teen
10760,12.12,child
10761,18.39,adult
10762,18.57,adult
10765,18.49,adult
10766,18.9,adult
10767,10.79,child
10768,18.33,adult
10772,11.03,child
10774,13.68,teen
10778,13.44,teen
10779,11.77,child
10780,12.41,child
10782,18.86,adult
10786,18.88,adult
10787,11.69,child
10788,18.74,adult
10790,11.15,child
10796,15.88,teen
10798,12.23,child
10800,11.76,child
10802,18.54,adult
10803,18.81,adult
10804,13.65,teen
10805,18.86,adult
10806,10.46,child
10808,16.69,teen
10811,11.7,child
10812,13.94,teen
10814,12.16,child
10818,10.88,child
10821,10.16,child
10822,10.13,child
10826,13.05,teen
10836,13.38,teen
10839,16.67,teen
10840,15.07,teen
10841,18.65,adult
10842,15.04,teen
10843,10.92,child
10847,14.77,teen
10849,16.94,teen
10850,13.81,teen
10852,18.95,adult
10869,15.6,teen
10870,18.9,adult
10872,18.86,adult
10873,14.22,teen
10874,16.21,teen
10875,18.32,adult
10877,15.97,teen
10879,16.29,teen
10887,15.3,teen
10888,13.14,teen
11056,20.62,adult
11058,21.74,adult
11059,21.4,adult
11065,25.03,adult
11066,22.15,adult
11074,22.07,adult
11078,22.04,adult
11082,21.68,adult
11084,21.48,adult
11087,22.68,adult
11094,22.4,adult
11106,21.52,adult
11113,21.76,adult
11123,20.65,adult
11130,23.71,adult
11141,20.32,adult
